iter	R2	RMSE
133	0.8123107393	0.5014444617
134	0.812615579	0.50103708
135	0.8129227419	0.5006262584
136	0.8132818625	0.5001455171
137	0.8135224034	0.4998232554
138	0.813982357	0.4992064589
139	0.8143033141	0.4987756046
140	0.8147569611	0.4981659911
141	0.8151707831	0.4976092433
142	0.8156043904	0.4970252076
143	0.8159750991	0.4965253468
144	0.8164084185	0.4959404236
145	0.8166729251	0.4955830358
146	0.8171816457	0.4948949529
147	0.8176487995	0.4942622485
148	0.8179054029	0.4939143649
149	0.8182555019	0.4934393312
150	0.818599259	0.4929724572
151	0.8188940582	0.492571723
152	0.8192993575	0.4920202479
153	0.8196357288	0.4915620908
154	0.8200614408	0.4909816335
155	0.8204803496	0.4904097818
156	0.8207506133	0.490040491
157	0.8210657135	0.4896095836
158	0.8212437269	0.4893659781
159	0.8216518426	0.4888070269
160	0.821931442	0.4884237212
161	0.822494085	0.4876514748
162	0.8227983919	0.4872332933
163	0.8230289929	0.4869161601
164	0.8233291826	0.4865030153
165	0.8236052497	0.4861227602
166	0.8239246096	0.485682502
167	0.8243485327	0.4850974796
168	0.824568414	0.4847937608
169	0.8247924821	0.4844840631
170	0.8250042612	0.4841911687
171	0.8251881768	0.4839366662
172	0.825662085	0.4832802541
173	0.8259866215	0.4828302224
174	0.8263306173	0.4823527484
175	0.8266049544	0.4819716232
176	0.8269411376	0.4815041665
177	0.827098878	0.4812846747
178	0.8272816455	0.4810302332
179	0.8275166512	0.4807028698
180	0.8277212219	0.4804177209
181	0.828042832	0.4799690894
182	0.82833503	0.4795611225
183	0.8285423324	0.4792714765
184	0.8288709508	0.4788119666
185	0.8290932499	0.4785008737
186	0.8293332607	0.4781647672
187	0.8295826143	0.4778153269
188	0.8299089864	0.4773575675
189	0.8302086033	0.4769369472
190	0.8306542195	0.4763106774
191	0.8310206263	0.4757951111
192	0.8312979545	0.4754045143
193	0.8316410545	0.4749208381
194	0.8318314624	0.4746522031
195	0.8320558643	0.4743354124
196	0.8325520827	0.4736341433
197	0.8328709071	0.4731830238
198	0.8331428417	0.4727979106
199	0.8334022973	0.4724301775
